category_code,country_code,state_code,age,success,number_degrees
enterprise,other,other,246.0,0,
legal,USA,other,366.0,0,
enterprise,other,other,636.0,0,
software,USA,other,366.0,0,
mobile,USA,California,93.0,0,
software,USA,other,1097.0,0,
biotech,USA,other,731.0,0,
network_hosting,other,other,632.0,0,
hospitality,USA,California,366.0,0,
software,USA,other,1.0,0,
analytics,USA,California,154.0,0,
education,USA,other,1097.0,0,
ecommerce,USA,other,470.0,0,
finance,USA,other,366.0,0,
medical,other,other,731.0,0,
security,USA,other,823.0,0,
nonprofit,other,other,1097.0,0,
hardware,USA,California,1383.0,0,
real_estate,other,other,1037.0,0,
games_video,USA,California,366.0,0,
medical,USA,California,1097.0,0,
biotech,other,other,1.0,0,
mobile,USA,California,62.0,0,
finance,USA,California,1.0,0,6.0
software,USA,California,1404.0,1,
mobile,USA,other,366.0,0,
photo_video,USA,California,366.0,0,
web,USA,California,143.0,1,
messaging,other,other,158.0,0,
hardware,USA,other,731.0,0,
cleantech,USA,other,1097.0,0,
social,USA,California,1.0,0,
web,USA,California,1.0,0,
education,other,other,366.0,0,
network_hosting,USA,other,1219.0,0,
health,USA,other,1434.0,1,
network_hosting,other,other,158.0,0,
ecommerce,other,other,1088.0,0,
education,other,other,1097.0,0,
ecommerce,other,other,1.0,0,
enterprise,USA,California,366.0,0,
games_video,USA,California,1.0,0,
enterprise,other,other,185.0,0,
ecommerce,USA,other,1.0,0,
messaging,other,other,1235.0,0,
ecommerce,USA,other,366.0,0,
enterprise,other,other,1.0,0,
web,USA,other,366.0,0,
software,other,other,465.0,0,
software,USA,other,276.0,0,
search,other,other,641.0,0,
mobile,USA,California,366.0,0,
software,other,other,298.0,0,
education,other,other,110.0,0,
advertising,USA,other,185.0,0,
web,other,other,853.0,0,
security,USA,California,1097.0,0,7.0
mobile,USA,other,1.0,0,
cleantech,USA,other,731.0,0,
cleantech,USA,other,731.0,0,
biotech,USA,other,1.0,0,32.0
web,USA,other,1.0,0,
software,USA,other,731.0,0,
medical,USA,California,93.0,0,
web,other,other,366.0,0,
web,USA,California,1.0,0,
